visible_link,effective_query,title,page_number,snippet,link,requested_at,domain,num_results,search_engine_name,query,link_type,requested_by,rank,num_results_for_keyword,scrapemethod
hellogiggles.com/,0,HelloGiggles,1,"Hello Giggles is a positive community covering pop culture, love, friendship, style, 
and news.Founded by Zooey Deschanel, Sophia Rossi and Molly McAleer.",http://hellogiggles.com/,2015-01-16 15:48:50.172198,hellogiggles.com,50,google,hello,results,localhost,41,Ungefähr 673.000.000 Ergebnisse,http
www.sanrio.com/hellokittycon/,0,Hello Kitty Con 2014: Celebrating Hello Kitty's 40th | Sanrio,1,"Celebrate Hello Kitty's 40th Anniversary at the first ever official Hello Kitty 
Convention in the world! Hello Kitty Con 2014 is a global gathering of fans and 
friends ...",http://www.sanrio.com/hellokittycon/,2015-01-16 15:48:50.172198,www.sanrio.com,50,google,hello,results,localhost,42,Ungefähr 673.000.000 Ergebnisse,http
hello-products.com/,0,hello toothpaste | hello mouthwash | hello breath spray | oral care,1,"Hello toothpaste, mouthwash, breath spray. seriously friendly oral care. naturally 
friendly. delicious flavors. designed by BMW DesignworksUSA.",http://hello-products.com/,2015-01-16 15:48:50.172198,hello-products.com,50,google,hello,results,localhost,43,Ungefähr 673.000.000 Ergebnisse,http
www.coop.ch/digitalebons,0,Coop - Hello Family Club - Digitale Bons,1,"Rabattbons direkt auf Ihre Hello Family Supercard speichern. Mit den digitalen 
Bons profitieren Sie als Mitglied des Hello Family Clubs noch bequemer von ...",http://www.coop.ch/digitalebons,2015-01-16 15:48:50.172198,www.coop.ch,50,google,hello,results,localhost,44,Ungefähr 673.000.000 Ergebnisse,http
en.wiktionary.org/wiki/hello,0,hello - Wiktionary,1,"The greeting hello is among the most generic and neutral in use. It may be heard 
in nearly all social situations and in nearly all walks of life, and is unlikely to ...",http://en.wiktionary.org/wiki/hello,2015-01-16 15:48:50.172198,en.wiktionary.org,50,google,hello,results,localhost,45,Ungefähr 673.000.000 Ergebnisse,http
www.young-fashion-eyewear.de/index.php?id=283,0,Kollektion Hello Kitty - IVKO Young Fashion Eyewear | Home,1,"Vertrieb nur in Deutschland. HE AA025 Modell: HE AA025 · HE AA038 Modell: 
HE AA038 · HE AA047 Modell: HE AA047 · HE AA050 Modell: HE AA050.",http://www.young-fashion-eyewear.de/index.php?id=283,2015-01-16 15:48:50.172198,www.young-fashion-eyewear.de,50,google,hello,results,localhost,46,Ungefähr 673.000.000 Ergebnisse,http
www.lindt-hello.com/,0,"HELLO, die neue, köstliche Schokolade ist da  created by Lindt",1,"We see that you're visiting us from United States. Would you like to visit Lindt 
HELLO United States? Lindt HELLO. Welcome! Please choose your language if ...",http://www.lindt-hello.com/,2015-01-16 15:48:50.172198,www.lindt-hello.com,50,google,hello,results,localhost,47,Ungefähr 673.000.000 Ergebnisse,http
vimeo.com/35055590,0,Hello on Vimeo,1,None,http://vimeo.com/35055590,2015-01-16 15:48:50.172198,vimeo.com,50,google,hello,results,localhost,48,Ungefähr 673.000.000 Ergebnisse,http
hellomrmag.com/,0,Hello Mr.,1,"Hello Mr. Home · About · Contact · Shop; Find us near you. Barnes & Noble · 
Amsterdam · Athens · Auckland · Austin · Baltimore · Barcelona · Berlin · Brazil ...",http://hellomrmag.com/,2015-01-16 15:48:50.172198,hellomrmag.com,50,google,hello,results,localhost,49,Ungefähr 673.000.000 Ergebnisse,http
www.omniglot.com/language/phrases/hello.htm,0,Translations of Hello in many languages - Omniglot,1,How to say hello in numerous languages with recordings for some of them.,http://www.omniglot.com/language/phrases/hello.htm,2015-01-16 15:48:50.172198,www.omniglot.com,50,google,hello,results,localhost,50,Ungefähr 673.000.000 Ergebnisse,http
